t1_q1,t1_q2,t1_q3,t1_q4,t1_q5,t1_q6,task,t2_q1,t2_q2,t2_q3,t2_q4,t2_q5,t2_q6
Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,boxbreathing,Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Agree,Neither Disagree nor Agree,Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,boxbreathing,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree,boxbreathing,Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree
Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,boxbreathing,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree
Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,boxbreathing,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree
Strongly Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree,boxbreathing,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Agree,Agree,Disagree,Disagree,Agree,boxbreathing,Disagree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,boxbreathing,Strongly Disagree,Neither Disagree nor Agree,Disagree,Agree,Strongly Agree,Disagree
Strongly Disagree,Disagree,Strongly Disagree,Agree,Neither Disagree nor Agree,Disagree,boxbreathing,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neither Disagree nor Agree,Disagree
Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Disagree,Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Neither Disagree nor Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree
Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree
Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,boxbreathing,Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Disagree
Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,boxbreathing,Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree
Disagree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Disagree,boxbreathing,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Disagree
Strongly Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,boxbreathing,Strongly Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Agree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Disagree,Disagree,Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,boxbreathing,Strongly Disagree,Neither Disagree nor Agree,Disagree,Agree,Strongly Agree,Disagree
Disagree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Strongly Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,boxbreathing,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Disagree,Disagree,Agree,boxbreathing,Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
Disagree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,boxbreathing,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Disagree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree
Agree,Disagree,Disagree,Agree,Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Neither Disagree nor Agree
Strongly Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Strongly Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,boxbreathing,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Strongly Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Strongly Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,boxbreathing,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,boxbreathing,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree
Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Neither Disagree nor Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Agree,Disagree,Agree,Disagree,boxbreathing,Agree,Neither Disagree nor Agree,Agree,Disagree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,boxbreathing,Strongly Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree
Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,boxbreathing,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,boxbreathing,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,boxbreathing,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Strongly Disagree,Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,boxbreathing,Strongly Disagree,Agree,Disagree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Strongly Agree,Disagree
Strongly Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,boxbreathing,Strongly Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,boxbreathing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree
Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree,boxbreathing,Disagree,Disagree,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,boxbreathing,Disagree,Neither Disagree nor Agree,Agree,Agree,Agree,Neither Disagree nor Agree
Strongly Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Agree,boxbreathing,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
